director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Steve Carver,David Carradine,William Sanderson,Robert Beltran,Action Crime Drama Thriller Western,lone wolf mcquade,david carradine william sanderson robert beltran steve carver action crime drama thriller western
Gonzalo López-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,Horror Mystery Sci-Fi Thriller,apollo 18,warren christie ryan robbins andrew airlie gonzalo lópez-gallego horror mystery sci-fi thriller
Christine Jeffs,Clifton Collins Jr.,Mary Lynn Rajskub,Paul Dooley,Comedy Drama,sunshine cleaning,clifton collins jr. mary lynn rajskub paul dooley christine jeffs comedy drama
John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,Action Thriller,no escape,sterling jerins claire geare sahajak boonthanakit john erick dowdle action thriller
Don Coscarelli,Vanna Bonta,John Amos,Rip Torn,Action Adventure Fantasy,the beastmaster,vanna bonta john amos rip torn don coscarelli action adventure fantasy
King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,Drama History Romance War,solomon and sheba,gina lollobrigida george sanders finlay currie king vidor drama history romance war
Michael Tiddes,Fred Willard,Mike Epps,Russell Peters,Comedy,fifty shades of black,fred willard mike epps russell peters michael tiddes comedy
Bill Duke,Eddie Cibrian,Jenifer Lewis,Wood Harris,Drama Romance,not easily broken,eddie cibrian jenifer lewis wood harris bill duke drama romance
Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,Drama Romance War,a farewell to arms,gary cooper helen hayes adolphe menjou frank borzage drama romance war
Bille Woodruff,Donald Faison,Brandy Norwood,Lauren London,Comedy Romance,the perfect match,donald faison brandy norwood lauren london bille woodruff comedy romance
Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,Action Adventure Animation Family Sci-Fi,digimon: the movie,lara jill miller colleen o'shaughnessey mona marshall mamoru hosoda action adventure animation family sci-fi
Brian Dannelly,Macaulay Culkin,Patrick Fugit,Eva Amurri Martino,Comedy Drama,saved!,macaulay culkin patrick fugit eva amurri martino brian dannelly comedy drama
Denys Arcand,Marie-Josée Croze,Stéphane Rousseau,Marina Hands,Comedy Crime Drama Mystery Romance,the barbarian invasions,marie-josée croze stéphane rousseau marina hands denys arcand comedy crime drama mystery romance
Richard Lester,Robert Shaw,Denholm Elliott,Nicol Williamson,Adventure Drama Romance,robin and marian,robert shaw denholm elliott nicol williamson richard lester adventure drama romance
J.S. Cardone,Brendan Fehr,Kerr Smith,Izabella Miko,Horror Thriller,the forsaken,brendan fehr kerr smith izabella miko j.s. cardone horror thriller
Guy Hamilton,Harrison Ford,Carl Weathers,Franco Nero,Action Drama War,force 10 from navarone,harrison ford carl weathers franco nero guy hamilton action drama war
Jay Levey,Fran Drescher,Gedde Watanabe,Michael Richards,Comedy Drama,uhf,fran drescher gedde watanabe michael richards jay levey comedy drama
Nicholaus Goossen,Linda Cardellini,Joel David Moore,Shirley Jones,Comedy,grandma's boy,linda cardellini joel david moore shirley jones nicholaus goossen comedy
Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,Comedy Drama,slums of beverly hills,natasha lyonne kevin corrigan jessica walter tamara jenkins comedy drama
Sergio Leone,Claudia Cardinale,Woody Strode,Jack Elam,Western,once upon a time in the west,claudia cardinale woody strode jack elam sergio leone western
Jon Favreau,Jon Favreau,Faizon Love,Jonathan Silverman,Comedy Crime Drama Thriller,made,jon favreau faizon love jonathan silverman jon favreau comedy crime drama thriller
Duncan Jones,Kevin Spacey,Matt Berry,Benedict Wong,Drama Mystery Sci-Fi,moon,kevin spacey matt berry benedict wong duncan jones drama mystery sci-fi
Scott Marshall,Miranda Cosgrove,Jami Gertz,Carter Jenkins,Comedy,keeping up with the steins,miranda cosgrove jami gertz carter jenkins scott marshall comedy
Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,sea rex 3d: journey to a prehistoric world,norbert ferrer guillaume denaiffe chloe hollings ronan chapalain documentary
Atom Egoyan,Bruce Greenwood,Sarah Polley,Simon Baker,Drama,the sweet hereafter,bruce greenwood sarah polley simon baker atom egoyan drama
Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,Drama,of gods and men,lambert wilson michael lonsdale olivier rabourdin xavier beauvois drama
Randall Miller,Alan Rickman,Freddy Rodríguez,Greg Collins,Comedy Drama,bottle shock,alan rickman freddy rodríguez greg collins randall miller comedy drama
Jerry Belson,Cassandra Peterson,Tim Thomerson,Bess Armstrong,Comedy Music Sci-Fi,jekyll and hyde... together again,cassandra peterson tim thomerson bess armstrong jerry belson comedy music sci-fi
